year;area km²;uf
1995;7845;PARÁ
2004;8870;PARÁ
2003;7145;PARÁ
2002;7510;PARÁ
1988;6990;PARÁ
2005;5899;PARÁ
2000;6671;PARÁ
2001;5237;PARÁ
1996;6135;PARÁ
1989;5750;PARÁ
1998;5829;PARÁ
1999;5111;PARÁ
1994;4284;PARÁ
1993;4284;PARÁ
2006;5659;PARÁ
1992;3787;PARÁ
1990;4890;PARÁ
1997;4139;PARÁ
2008;5607;PARÁ
2007;5526;PARÁ
1991;3780;PARÁ
2019;4172;PARÁ
2016;2992;PARÁ
2018;2744;PARÁ
2009;4281;PARÁ
2010;3770;PARÁ
2017;2433;PARÁ
2011;3008;PARÁ
2015;2153;PARÁ
2013;2346;PARÁ
2014;1887;PARÁ
2012;1741;PARÁ
1995;10391;MATO GROSSO
2004;11814;MATO GROSSO
2003;10405;MATO GROSSO
2002;7892;MATO GROSSO
1988;5140;MATO GROSSO
2005;7145;MATO GROSSO
2000;6369;MATO GROSSO
2001;7703;MATO GROSSO
1996;6543;MATO GROSSO
1989;5960;MATO GROSSO
1998;6466;MATO GROSSO
1999;6963;MATO GROSSO
1994;6220;MATO GROSSO
1993;6220;MATO GROSSO
2006;4333;MATO GROSSO
1992;4674;MATO GROSSO
1990;4020;MATO GROSSO
1997;5271;MATO GROSSO
2008;3258;MATO GROSSO
2007;2678;MATO GROSSO
1991;2840;MATO GROSSO
2019;1702;MATO GROSSO
2016;1489;MATO GROSSO
2018;1490;MATO GROSSO
2009;1049;MATO GROSSO
2010;871;MATO GROSSO
2017;1561;MATO GROSSO
2011;1120;MATO GROSSO
2015;1601;MATO GROSSO
2013;1139;MATO GROSSO
2014;1075;MATO GROSSO
2012;757;MATO GROSSO
1995;4730;RONDÔNIA
2004;3858;RONDÔNIA
2003;3597;RONDÔNIA
2002;3099;RONDÔNIA
1988;2340;RONDÔNIA
2005;3244;RONDÔNIA
2000;2465;RONDÔNIA
2001;2673;RONDÔNIA
1996;2432;RONDÔNIA
1989;1430;RONDÔNIA
1998;2041;RONDÔNIA
1999;2358;RONDÔNIA
1994;2595;RONDÔNIA
1993;2595;RONDÔNIA
2006;2049;RONDÔNIA
1992;2265;RONDÔNIA
1990;1670;RONDÔNIA
1997;1986;RONDÔNIA
2008;1136;RONDÔNIA
2007;1611;RONDÔNIA
1991;1110;RONDÔNIA
2019;1257;RONDÔNIA
2016;1376;RONDÔNIA
2018;1316;RONDÔNIA
2009;482;RONDÔNIA
2010;435;RONDÔNIA
2017;1243;RONDÔNIA
2011;865;RONDÔNIA
2015;1030;RONDÔNIA
2013;932;RONDÔNIA
2014;684;RONDÔNIA
2012;773;RONDÔNIA
1995;2114;AMAZONAS
2004;1232;AMAZONAS
2003;1558;AMAZONAS
2002;885;AMAZONAS
1988;1510;AMAZONAS
2005;775;AMAZONAS
2000;612;AMAZONAS
2001;634;AMAZONAS
1996;1023;AMAZONAS
1989;1180;AMAZONAS
1998;670;AMAZONAS
1999;720;AMAZONAS
1994;370;AMAZONAS
1993;370;AMAZONAS
2006;788;AMAZONAS
1992;799;AMAZONAS
1990;520;AMAZONAS
1997;589;AMAZONAS
2008;604;AMAZONAS
2007;610;AMAZONAS
1991;980;AMAZONAS
2019;1434;AMAZONAS
2016;1129;AMAZONAS
2018;1045;AMAZONAS
2009;405;AMAZONAS
2010;595;AMAZONAS
2017;1001;AMAZONAS
2011;502;AMAZONAS
2015;712;AMAZONAS
2013;583;AMAZONAS
2014;500;AMAZONAS
2012;523;AMAZONAS
1995;1745;MARANHÃO
2004;755;MARANHÃO
2003;993;MARANHÃO
2002;1085;MARANHÃO
1988;2450;MARANHÃO
2005;922;MARANHÃO
2000;1065;MARANHÃO
2001;958;MARANHÃO
1996;1061;MARANHÃO
1989;1420;MARANHÃO
1998;1012;MARANHÃO
1999;1230;MARANHÃO
1994;372;MARANHÃO
1993;372;MARANHÃO
2006;674;MARANHÃO
1992;1135;MARANHÃO
1990;1100;MARANHÃO
1997;409;MARANHÃO
2008;1271;MARANHÃO
2007;631;MARANHÃO
1991;670;MARANHÃO
2019;237;MARANHÃO
2016;258;MARANHÃO
2018;253;MARANHÃO
2009;828;MARANHÃO
2010;712;MARANHÃO
2017;265;MARANHÃO
2011;396;MARANHÃO
2015;209;MARANHÃO
2013;403;MARANHÃO
2014;257;MARANHÃO
2012;269;MARANHÃO
1995;1208;ACRE
2004;728;ACRE
2003;1078;ACRE
2002;883;ACRE
1988;620;ACRE
2005;592;ACRE
2000;547;ACRE
2001;419;ACRE
1996;433;ACRE
1989;540;ACRE
1998;536;ACRE
1999;441;ACRE
1994;482;ACRE
1993;482;ACRE
2006;398;ACRE
1992;400;ACRE
1990;550;ACRE
1997;358;ACRE
2008;254;ACRE
2007;184;ACRE
1991;380;ACRE
2019;682;ACRE
2016;372;ACRE
2018;444;ACRE
2009;167;ACRE
2010;259;ACRE
2017;257;ACRE
2011;280;ACRE
2015;264;ACRE
2013;221;ACRE
2014;309;ACRE
2012;305;ACRE
1995;797;TOCANTINS
2004;158;TOCANTINS
2003;156;TOCANTINS
2002;212;TOCANTINS
1988;1650;TOCANTINS
2005;271;TOCANTINS
2000;244;TOCANTINS
2001;189;TOCANTINS
1996;320;TOCANTINS
1989;730;TOCANTINS
1998;576;TOCANTINS
1999;216;TOCANTINS
1994;333;TOCANTINS
1993;333;TOCANTINS
2006;124;TOCANTINS
1992;409;TOCANTINS
1990;580;TOCANTINS
1997;273;TOCANTINS
2008;107;TOCANTINS
2007;63;TOCANTINS
1991;440;TOCANTINS
2019;23;TOCANTINS
2016;58;TOCANTINS
2018;25;TOCANTINS
2009;61;TOCANTINS
2010;49;TOCANTINS
2017;31;TOCANTINS
2011;40;TOCANTINS
2015;57;TOCANTINS
2013;74;TOCANTINS
2014;50;TOCANTINS
2012;52;TOCANTINS
1995;220;RORAIMA
2004;311;RORAIMA
2003;439;RORAIMA
2002;84;RORAIMA
1988;290;RORAIMA
2005;133;RORAIMA
2000;253;RORAIMA
2001;345;RORAIMA
1996;214;RORAIMA
1989;630;RORAIMA
1998;223;RORAIMA
1999;220;RORAIMA
1994;240;RORAIMA
1993;240;RORAIMA
2006;231;RORAIMA
1992;281;RORAIMA
1990;150;RORAIMA
1997;184;RORAIMA
2008;574;RORAIMA
2007;309;RORAIMA
1991;420;RORAIMA
2019;590;RORAIMA
2016;202;RORAIMA
2018;195;RORAIMA
2009;121;RORAIMA
2010;256;RORAIMA
2017;132;RORAIMA
2011;141;RORAIMA
2015;156;RORAIMA
2013;170;RORAIMA
2014;219;RORAIMA
2012;124;RORAIMA
1995;9;AMAPÁ
2004;46;AMAPÁ
2003;25;AMAPÁ
1988;60;AMAPÁ
2005;33;AMAPÁ
2001;7;AMAPÁ
1989;130;AMAPÁ
1998;30;AMAPÁ
2006;30;AMAPÁ
1992;36;AMAPÁ
1990;250;AMAPÁ
1997;18;AMAPÁ
2008;100;AMAPÁ
2007;39;AMAPÁ
1991;410;AMAPÁ
2019;32;AMAPÁ
2016;17;AMAPÁ
2018;24;AMAPÁ
2009;70;AMAPÁ
2010;53;AMAPÁ
2017;24;AMAPÁ
2011;66;AMAPÁ
2015;25;AMAPÁ
2013;23;AMAPÁ
2014;31;AMAPÁ
2012;27;AMAPÁ
